m,r,d,seed,n_recover,n_lib,dt,tot_iters
15,1,3,8,180,816,118.37730407714844,10350
15,1,3,9,130,816,145.24087524414062,10850
16,1,3,0,182,969,232.46064114570618,12050
16,1,3,1,155,969,279.2491035461426,15200
16,1,3,2,238,969,184.2838637828827,8725
16,1,3,3,157,969,244.49533438682556,12625
16,1,3,4,247,969,140.18675994873047,5850
16,1,3,5,155,969,238.77017402648926,12375
16,1,3,6,117,969,207.7471489906311,10650
16,1,3,7,132,969,209.98581528663635,10975
16,1,3,8,169,969,99.57355737686157,4075
16,1,3,9,157,969,261.7354938983917,15425
5,1,4,0,51,126,2.881518840789795,1575
5,1,4,1,37,126,3.4373695850372314,2475
5,1,4,2,71,126,3.3332202434539795,2650
5,1,4,3,64,126,2.8567872047424316,1700
5,1,4,4,62,126,5.6397621631622314,4525
5,1,4,5,64,126,2.7489986419677734,1400
5,1,4,6,68,126,3.7196998596191406,2350
5,1,4,7,67,126,2.655707836151123,950
5,1,4,8,71,126,2.9567906856536865,1625
5,1,4,9,63,126,4.966383457183838,3075
6,1,4,0,133,210,7.617535352706909,1575
6,1,4,1,72,210,13.80021619796753,3875
6,1,4,2,76,210,22.091136693954468,6450
6,1,4,3,119,210,5.8831565380096436,1175
6,1,4,4,113,210,5.141830205917358,975
6,1,4,5,85,210,6.504892826080322,1100
6,1,4,6,139,210,8.04892635345459,1750
6,1,4,7,92,210,16.11785578727722,4450
6,1,4,8,57,210,18.21103048324585,5225
6,1,4,9,75,210,24.847410917282104,7800
7,1,4,0,113,330,55.19072198867798,6850
7,1,4,1,123,330,48.345720529556274,6825
7,1,4,2,162,330,25.442352294921875,2250
7,1,4,3,174,330,15.694406509399414,1600
7,1,4,4,157,330,17.128764629364014,1650
7,1,4,5,86,330,17.922866821289062,1775
7,1,4,6,114,330,33.382838010787964,4875
7,1,4,7,180,330,15.894620418548584,1100
7,1,4,8,219,330,19.349678993225098,1625
7,1,4,9,92,330,79.67033219337463,11800
8,1,4,0,181,495,39.109317779541016,2150
8,1,4,1,118,495,44.15212273597717,2600
8,1,4,2,92,495,55.392943143844604,3250
8,1,4,3,219,495,52.91503357887268,2875
8,1,4,4,179,495,33.53492331504822,1475
8,1,4,5,232,495,36.260244846343994,1550
8,1,4,6,190,495,77.06957650184631,5125
8,1,4,7,224,495,33.17576575279236,1250
8,1,4,8,218,495,49.387129068374634,2675
8,1,4,9,171,495,48.50213074684143,2600
9,1,4,0,196,715,96.34567523002625,4275
9,1,4,1,180,715,150.37840843200684,7900
9,1,4,2,325,715,71.15663480758667,3050
9,1,4,3,204,715,66.39522552490234,3050
9,1,4,4,227,715,49.548949003219604,1675
9,1,4,5,233,715,82.59170722961426,3225
9,1,4,6,263,715,123.65743470191956,5525
9,1,4,7,211,715,52.506760358810425,1875
9,1,4,8,306,715,89.34175682067871,3500
9,1,4,9,139,715,153.02346754074097,7975
10,1,4,0,443,1001,93.40672540664673,1450
10,1,4,1,222,1001,303.7580461502075,11100
10,1,4,2,375,1001,115.29337406158447,1800
10,1,4,3,332,1001,176.36856698989868,3925
10,1,4,4,310,1001,127.67682552337646,2225
10,1,4,5,280,1001,213.46473860740662,5800
10,1,4,6,192,1001,250.36764192581177,10875
10,1,4,7,371,1001,192.89698004722595,6425
10,1,4,8,158,1001,147.14418530464172,4850
10,1,4,9,155,1001,160.95391273498535,5625
5,2,2,0,18,21,0.3310410976409912,1550
5,2,2,1,15,21,0.43866729736328125,5100
5,2,2,2,17,21,0.2317194938659668,1925
5,2,2,3,20,21,0.11214876174926758,1350
5,2,2,4,17,21,0.18964529037475586,3075
5,2,2,5,20,21,0.09396195411682129,825
5,2,2,6,16,21,0.33536767959594727,2625
5,2,2,7,19,21,0.22970914840698242,1600
5,2,2,8,18,21,0.31389641761779785,1900
5,2,2,9,16,21,0.25095295906066895,1925
10,2,2,0,53,66,1.912743330001831,5900
10,2,2,1,41,66,1.1795291900634766,4875
10,2,2,2,44,66,1.9627723693847656,6425
10,2,2,3,59,66,0.8755044937133789,5025
10,2,2,4,49,66,1.8162405490875244,8850
10,2,2,5,51,66,1.5963563919067383,5750
10,2,2,6,41,66,1.1375658512115479,3525
